run_id,room_count,total_rooms_attempted,room_generation_success_rate,room_density,mean_area,min_area,max_area,area_variance,area_std_dev,mean_width,mean_height,width_variance,height_variance,mean_aspect_ratio,aspect_ratio_variance,average_room_area
1,13,19,0.6842,0.2322,16.00,9,28,45.6095,6.7535,4.15,3.92,1.8225,1.9172,1.1603,0.2139,16.08
2,13,19,0.6842,0.2500,17.00,9,36,50.0592,7.0753,4.38,4.15,3.1598,2.2840,1.2019,0.3563,17.31
3,11,15,0.7333,0.3056,25.00,12,50,180.7273,13.4435,6.18,4.00,7.7851,0.7273,1.6076,0.6283,25.00
4,14,17,0.8235,0.2967,19.00,9,30,33.4949,5.7875,4.79,4.14,2.4541,1.2653,1.2869,0.4195,19.07
5,16,18,0.8889,0.3367,18.00,9,30,47.4336,6.8872,4.50,4.50,2.7500,3.7500,1.1994,0.4637,18.94
6,11,17,0.6471,0.2556,20.00,9,40,83.1736,9.1200,4.73,4.45,2.1983,2.2479,1.1780,0.2714,20.91
7,14,18,0.7778,0.2711,17.00,9,35,43.1020,6.5652,4.86,3.71,2.2653,1.9184,1.4626,0.3955,17.43
8,13,16,0.8125,0.3078,21.00,9,44,99.5976,9.9799,4.46,5.31,5.4793,7.4438,1.0873,0.5765,21.31
9,12,18,0.6667,0.2344,17.00,12,35,47.0764,6.8612,4.75,3.67,1.5208,0.5556,1.3389,0.1612,17.58
10,11,17,0.6471,0.2667,21.00,9,35,53.4215,7.3090,4.82,4.73,3.2397,1.8347,1.1634,0.4987,21.82
11,12,17,0.7059,0.2589,19.00,9,33,52.4097,7.2395,4.50,4.67,5.2500,2.3889,1.1521,0.7658,19.42
12,12,15,0.8000,0.2911,21.00,9,50,110.9722,10.5343,5.58,4.00,5.2431,1.3333,1.5292,0.5441,21.83
13,14,18,0.7778,0.2444,15.00,9,24,32.3469,5.6874,3.79,4.21,1.0255,2.0255,1.0080,0.2138,15.71
14,13,17,0.7647,0.2656,18.00,9,44,93.1598,9.6519,4.46,4.15,4.7101,1.5148,1.1555,0.3580,18.38
15,11,16,0.6875,0.2633,21.00,9,48,120.9752,10.9989,4.64,4.91,2.7769,6.8099,1.1959,0.5005,21.55
16,14,16,0.8750,0.2722,17.00,9,40,67.1071,8.1919,4.21,4.21,2.0255,2.4541,1.1211,0.2226,17.50
17,12,17,0.7059,0.3267,24.00,12,36,54.0833,7.3541,5.08,5.17,3.5764,2.9722,1.1610,0.4335,24.50
18,13,18,0.7222,0.2544,17.00,9,32,30.6982,5.5406,5.23,3.38,2.3314,0.2367,1.5833,0.2799,17.62
19,11,17,0.6471,0.2656,21.00,12,40,88.0165,9.3817,4.82,4.55,2.8760,1.5207,1.1452,0.2281,21.73
20,13,19,0.6842,0.2800,19.00,9,32,68.0828,8.2512,4.92,4.08,5.1479,1.3018,1.3260,0.6194,19.38
21,13,17,0.7647,0.2611,18.00,9,28,35.3018,5.9415,3.69,5.08,0.3669,4.0710,0.8779,0.1734,18.08
22,13,19,0.6842,0.2500,17.00,9,28,30.3669,5.5106,4.31,4.23,2.5207,1.7160,1.1560,0.3891,17.31
23,11,17,0.6471,0.2822,23.00,12,40,46.6281,6.8285,4.27,5.55,1.2893,1.8843,0.8438,0.1436,23.09
24,12,18,0.6667,0.2644,19.00,9,32,44.4722,6.6687,4.58,4.58,3.5764,2.0764,1.1410,0.4408,19.83
25,11,15,0.7333,0.3111,25.00,9,48,112.2479,10.5947,5.27,5.27,6.3802,5.4711,1.2422,0.6297,25.45
26,15,17,0.8824,0.3100,18.00,9,50,101.5733,10.0784,3.53,5.13,0.3822,3.8489,0.7856,0.1006,18.60
27,14,19,0.7368,0.2822,18.00,9,40,58.4082,7.6425,4.14,4.50,1.6939,2.2500,1.0530,0.2895,18.14
28,12,18,0.6667,0.2700,20.00,12,40,75.3542,8.6807,5.08,4.17,3.7431,2.6389,1.3870,0.4362,20.25
29,12,14,0.8571,0.3400,25.00,9,45,162.4167,12.7443,4.83,5.67,4.8056,8.0556,1.0936,0.4351,25.50
30,9,19,0.4737,0.1956,19.00,9,32,58.2469,7.6320,4.22,4.78,2.6173,2.6173,1.0106,0.3954,19.56
31,13,16,0.8125,0.2389,16.00,9,56,142.8639,11.9526,4.31,3.85,8.5207,0.5917,1.1577,0.5521,16.54
32,13,16,0.8125,0.2689,18.00,9,27,23.7751,4.8760,4.92,4.08,1.7633,3.3018,1.4304,0.3805,18.62
33,14,16,0.8750,0.3111,20.00,9,52,115.4286,10.7438,3.71,5.43,0.4898,7.8163,0.8300,0.1326,20.00
34,12,16,0.7500,0.2622,19.00,9,32,57.2222,7.5645,5.17,4.08,4.4722,2.9097,1.4653,0.5596,19.67
35,13,18,0.7222,0.2322,16.00,9,28,29.9172,5.4697,4.15,4.08,2.7456,1.6095,1.1509,0.4020,16.08
36,14,19,0.7368,0.2722,17.00,9,30,24.3929,4.9389,4.86,3.64,1.1224,0.6582,1.4060,0.1921,17.50
37,12,15,0.8000,0.3622,27.00,9,56,158.9722,12.6084,5.42,5.58,5.9097,9.4097,1.2966,0.8531,27.17
38,14,18,0.7778,0.3078,19.00,9,35,50.4541,7.1031,4.86,4.29,4.8367,1.0612,1.2667,0.6853,19.79
39,14,15,0.9333,0.3033,19.00,12,36,52.6786,7.2580,4.57,4.57,2.9592,3.9592,1.1742,0.3546,19.50
40,12,17,0.7059,0.2689,20.00,9,45,99.3056,9.9652,4.00,5.00,1.1667,3.8333,0.9255,0.2370,20.17
41,12,15,0.8000,0.2422,18.00,12,40,54.8056,7.4031,4.00,4.58,0.8333,2.0764,0.9743,0.1979,18.17
42,10,18,0.5556,0.2278,20.00,12,36,54.4500,7.3790,4.60,4.70,3.4400,2.0100,1.1108,0.3808,20.50
43,11,15,0.7333,0.2211,18.00,9,36,47.7190,6.9079,4.55,4.18,3.7025,1.6033,1.2147,0.4211,18.09
44,11,17,0.6471,0.2322,19.00,9,35,62.3636,7.8971,4.82,4.00,3.9669,1.0909,1.3030,0.5272,19.00
45,13,19,0.6842,0.3156,21.00,9,36,58.2840,7.6344,4.00,5.62,1.2308,3.9290,0.8368,0.2089,21.85
46,13,16,0.8125,0.3400,23.00,9,55,178.0947,13.3452,5.38,4.46,8.2367,2.0947,1.3423,0.7294,23.54
47,15,15,1.0000,0.3156,18.00,9,39,71.3956,8.4496,4.60,4.47,3.4400,6.2489,1.2609,0.4482,18.93
48,12,16,0.7500,0.3167,23.00,15,40,62.5208,7.9070,5.33,4.92,5.5556,2.5764,1.3281,0.8125,23.75
49,12,17,0.7059,0.2778,20.00,9,30,35.4722,5.9559,4.50,5.08,1.9167,5.0764,1.1428,0.4929,20.83
50,13,23,0.5652,0.2322,16.00,9,35,47.6095,6.9000,4.85,3.31,2.5917,0.5207,1.5128,0.2915,16.08
